Crossover Prob	Mutation Prob	Population Size	Max Features	Fitness Function	Accuracy
0.1	0.05	10	60	LR	0.75
0.1	0.05	10	120	LR	0.7083333333333334
0.1	0.05	10	240	LR	0.75
0.1	0.05	25	60	LR	0.7083333333333334
0.1	0.05	25	120	LR	0.75
0.1	0.05	25	240	LR	0.7083333333333334
0.1	0.05	50	60	LR	0.7916666666666666
0.1	0.05	50	120	LR	0.7916666666666666
0.1	0.05	50	240	LR	0.7083333333333334
